VENDOR,BILLING_MONTH,VENDOR_PARTNER_NAME,USAGE_ROWS,TOTAL_QUANTITY,TOTAL_AMOUNT,EST_DOLLAR_IMPACT,NORMALIZED_KEY
Webroot,2026-06-01,Medical Technology Solutions LLC,1,1250.0,700.0,700.0,medical technology  olution  llc
Acronis,2026-04-01,"Innovative Network, Inc.",8,32946.49,698.617819,698.617819,innovative network inc
Acronis,2026-06-01,"Innovative Network, Inc.",8,33181.17,691.732783,691.732783,innovative network inc
Bitdefender,2026-01-01,Red Mosquito Ltd,4,1171.0,690.601,690.601,red mo quito ltd
Acronis,2026-02-01,"Innovative Network, Inc.",7,31938.25,690.412467,690.412467,innovative network inc
Acronis,2026-03-01,"Innovative Network, Inc.",7,32676.07,689.285553,689.285553,innovative network inc
Acronis,2026-05-01,"Innovative Network, Inc.",8,33009.659999999996,689.194435,689.194435,innovative network inc
Acronis,2026-07-01,Terminal B,5,24564.9,675.38262,675.38262,terminal b
Bitdefender,2026-03-01,Intalect Ltd,3,565.0,673.5097000000001,673.5097000000001,intalect ltd
Acronis,2026-04-01,The Computer Doctors,9,10319.51,673.492448,673.492448,the computer doctor
Bitdefender,2026-05-01,Red Mosquito Ltd,4,1103.0,671.0459999999999,671.0459999999999,red mo quito ltd
Bitdefender,2026-06-01,Red Mosquito Ltd,4,1094.0,669.9956,669.9956,red mo quito ltd
Acronis,2026-01-01,"Innovative Network, Inc.",8,30298.46,668.0939079999999,668.0939079999999,innovative network inc
Acronis,2026-03-01,The Computer Doctors,9,10007.54,665.9884920000001,665.9884920000001,the computer doctor
ESET,2026-07-01,"ConnectWise, Inc. PSA",1,25575.0,665.631405,665.631405,connectwi e inc p a
Acronis,2026-06-01,Terminal B,5,24104.41,664.925668,664.925668,terminal b
Acronis,2026-02-01,Axiom,3,15812.2,664.4157299999999,664.4157299999999,axiom
Auvik,2026-07-01,CSI,2,59.0,663.11,663.11,c i
Auvik,2026-06-01,CSI,2,59.0,663.11,663.11,c i
Auvik,2026-05-01,CSI,2,59.0,663.11,663.11,c i
Auvik,2026-04-01,CSI,2,59.0,663.11,663.11,c i
Auvik,2026-03-01,CSI,2,59.0,663.11,663.11,c i
Auvik,2026-02-01,CSI,2,59.0,663.11,663.11,c i
Acronis,2026-02-01,Balliante Ltd,9,7384.21,659.3951079999999,659.3951079999999,balliante ltd
