VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CW-S1COMPLETE-IIT,COMPLETE,IIT,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CWSENTINEL1-COMPLETE,COMPLETE,Legacy CW,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,DR-S1COMPLETE-IIT,COMPLETE,DR IIT,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,TA-SENTINELONE-COMPLETE,COMPLETE,TA,1.01,1.01
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,TA-CW-MDR-SENTINELONE-PREM,COMPLETE,TA MDR Premium,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,UNMAPPED,COMPLETE,Complete Tier 2 variant on Jan and Apr invoices; same COMPLETE group.,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,S1COMPLETEONBOARDING,COMPLETE,One-time Complete onboarding SKU billed via Zuora; not on vendor invoice.,1.01,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CUSERVOTHR300520EPSB,CONTROL,Fortify Endpoint,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,SENTINELONE-CONTROL,CONTROL,SentinelOne Control 3P,0.72,0.72
SentinelOne,Control,S1ES-CTL-EN-T9-SA,M2M-SENTINELONE-CONTROL,CONTROL,M2M,0.72,0.69
SentinelOne,Control,S1ES-CTL-EN-T9-SA,M2MSENTINEL1-CONTROL,CONTROL,Legacy M2M,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,M2MSEROTHR300520EPSB,CONTROL,M2M MDR,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,SwO-3P-CYBR-SOLP-SAAS-S1CNTROL,CONTROL,SwO 3P,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,SWO-EG-CYBR-SOLP-SAAS-S1CNTROL,CONTROL,SwO EG,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,SwO-EG-CYBR-SIEM-SAAS-0520EPSB,CONTROL,SwO EG SIEM,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,SwO_EG_CYBR_SIEM_SAAS_0520EPSB,CONTROL,SwO EG underscore,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,SwO_IH_CYBR_SIEM_SAAS_0520EPSB,CONTROL,SwO IH underscore,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CMS-EG-CYBER-SIEM-SAAS-0520EPSB,CONTROL,CMS MDR,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CU-3P-SAAS-S1Control,CONTROL,CU 3P,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CU-S1-CONTROL-BYOL,CONTROL,BYOL,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CU_S1_CONTROL_BYOL,CONTROL,BYOL underscore,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CW-S1CONTROL-IIT,CONTROL,IIT,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CWSENTINEL1-CONTROL,CONTROL,Legacy CW,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,DR-S1CONTROL-IIT,CONTROL,DR IIT,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,TA-SENTINELONE-CONTROL,CONTROL,TA,0.72,0.69
SentinelOne,Control,S1ES-CTL-EN-T9-SA,TA-CW-MDR-SENTINELONE,CONTROL,TA MDR,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,S1Control,CONTROL,Legacy simple,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CUSERVOTHER300440PAR,CONTROL,Fortify Endpoint parent,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,CUSERVOTHER300450PAR,CONTROL,Fortify Endpoint parent v2,0.72,
SentinelOne,Control,S1ES-CTL-EN-T9-SA,UNMAPPED,CONTROL,Control Tier 2 variant on Jan and Apr invoices; same CONTROL group.,0.72,
SentinelOne,Ranger,SP-RGR-ND-T2-SA,SP-RGR-ND,RANGER,S1 Ranger,0.38,0.38
SentinelOne,Ranger,SP-RGR-ND-T2-SA,M2M-SP-RGR-ND,RANGER,M2M,0.38,
