PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
SEC,,ACT-00224796,12265,"SEC, Inc"
Secur3IT,,ACT-00061839,20822,Secur3IT
"Secure Network Services, Inc.",,ACT-00216891,14677,SNS - Secure Network Services
Secure Networks,,ACT-00224787,,Secure Future Tech Solutions
Sedona Technologies,,ACT-00126432,6784,"Sedona, Inc."
"Sensei Enterprises, Inc.",,ACT-00071722,2965,"Sensei Enterprises, Inc"
Sentinel Data Solutions Ltd,,ACT-00166297,,Sentinel Data Solutions Ltd
Sentryon IT Solutions,,ACT-00054798,7729,Sentryon IT Solutions
Servall Canada Inc.,,ACT-00057345,18142,Servall Canada Inc.
Servcom USA LLC,,ACT-00019114,5194,Servcom USA
Serverli Inc,,ACT-00434501,31018,Serverli Inc
Service First Technologies,,ACT-00289634,26713,Service First Technologies
"Service Solutions, Inc.",,ACT-00096362,,Service Solutions Inc.
servnet,,ACT-00165885,,servnet
Sexton,,ACT-00099664,17265,Sexton Companies Inc 1
SFY IT,,ACT-00035427,,Sfy It
SH Data Technologies,,ACT-00002318,,TenHats
Shaman Systems,,ACT-00092516,4855,Shaman Systems Inc
Sharp Business Systems Midwest,,ACT-00049854,,Sharp Electronics Corp
Sharp Business Systems of Dallas,SEC through SBS (SBS HQ MITS),ACT-00245303,17375,Sharp Business Systems of Dallas
Sharp Business Systems of Florida,,ACT-00049854,,Sharp Electronics Corp
Sharp Business Systems of Georgia,,ACT-00049854,,Sharp Electronics Corp
Sharp Business Systems of NJ,SEC through SBS (SBS HQ MITS),ACT-00207983,12518,Sharp Business Systems of NJ
Sharp Business Systems of Northern California,SEC through SBS (SBS HQ MITS),ACT-00112785,12115,Sharp Business Systems of Northern California
Sharp Business Systems of SC,,ACT-00049854,,Sharp Electronics Corp
Sharp Business Systems of Seattle,,ACT-00049854,,Sharp Electronics Corp
Sharp Business Systems of Southern California,,ACT-00049854,,Sharp Electronics Corp
Sharp Business Systems of Tennessee,,ACT-00049854,,Sharp Electronics Corp
Sharp Business Systems of TX,SEC through SBS (SBS HQ MITS),ACT-00245303,17375,Sharp Business Systems of Dallas
Sharp Business Systems Switzerland AG,,ACT-00267270,23398,Sharp Business Systems Switzerland AG
Sharp Business Systems UK Plc,,ACT-00049854,,Sharp Electronics Corp
Sharp Electronics Benelux BV,,ACT-00275652,24514,Sharp Electronics Benelux B V
Sharp Electronics Europe,,ACT-00056702,17924,Sharp Business Systems Sweden AB
SHIELD Networks Inc,,ACT-00061566,11108,SHIELD Networks Inc.
"Shiloh Service, Inc",,ACT-00203687,,"Shiloh Service, Inc"
Shore Thing Computers,,ACT-00208368,10983,Shore Thing Computers & Networking Inc.
SIC CONSULTING INC,,ACT-00108212,1743,"SIC Consulting, Inc."
Sieve Networks Inc,,ACT-00240125,22786,"Sieve Networks, Inc"
Silicon East Inc,,ACT-00038299,1157,Silicon East Inc
Silver Cloud Ltd.,,ACT-00015290,,Silverbug
silver storm solutions,,ACT-00009434,,Silver Storm Solutions
Silverbug,,ACT-00015290,,Silverbug
Simplatech,,ACT-00075813,14375,"Simplatech, LLC"
"Simpli Networks, Inc.",,ACT-00165023,,Simplified Business Solutions
"Simplified Business Solutions, LLC",,ACT-00165023,23587,Simplified Business Solutions
Singer Consulting,,ACT-00235478,10513,Singer Consulting
SIP Oasis,,ACT-00147688,18893,"SIP Oasis, Inc."
Site2,,ACT-00103168,23523,Site2
Sklar Technology Partners,,ACT-00100497,707,Sklar Technology Partners
Sky Reach Systems,,ACT-00145012,,skyreach
SkyComp Solutions Inc.,,ACT-00147893,,SkyComp Solutions Inc.
SkylineITS,,ACT-00031035,5367,SkylineITS
Skytel Networks Inc.,,ACT-00114403,,Skytel Networks Inc.
SkyTerra Technologies LLC,,ACT-00154806,,skyterra
SkyViewTek,,ACT-00058322,,SkyViewTek
Sm@rt Computers,,ACT-00236948,,Sm@rt Computers
"Smart Image Systems, Inc.",,ACT-00235216,,Smart Start Consulting
Smart Shield Solutions,,ACT-00286553,25199,Smart Shield Solutions
Smart Start Networks,,ACT-00175660,14298,Smart Start Networks Inc
Smarthost Design Technologies,,ACT-00042647,5945,Smarthost Design Technologies LLC
SmartMSP Solutions,,ACT-00053931,,SmartMSP Solutions
Smartstartconsulting,,ACT-00235216,14087,Smart Start Consulting
"SMD Technical Services, LLC",,ACT-00075931,12284,"SMD Technical Services, LLC"
SME Inc,,ACT-00183408,23242,SME Inc
SMP Network Solutions Ltd,,ACT-00069348,13254,SMP Network Solutions Ltd
SNECS,,ACT-00242378,,SNECS
Softrade Digital P/L,,ACT-00087541,,Softrade Digital P/L
Softworks Technologies,,ACT-00206794,11271,Soft Works
SOHOTech,,ACT-00138031,,SOHOTech
Soigne Corporation,,ACT-00145521,,Soigne corporation
Solution IT Montreal,,ACT-00158534,,Solutions ITS
Solutions 4 IT,,ACT-00243511,16849,Solutions 4 IT
Solutions Squad Inc,,ACT-00158534,,Solutions ITS
"Solutions Unlimited, LLC",,ACT-00158534,,Solutions ITS
Solutions Unplugged,,ACT-00158534,,Solutions ITS
Somerbys IT Limited,,ACT-00019924,19878,Somerbys IT Ltd
Somerset Systems,,ACT-00223810,23984,Somerset Systems
Sort IT Out,,ACT-00035349,,Sort IT Out
"SOS Systems, Inc.",Ingram Micro,ACT-00240076,,"SOS Systems, Inc."
Source One Business Services,,ACT-00061482,6965,Source One Business Services Llc
Source Tech Ltd,,ACT-00216382,15967,Source Technical Services Ltd
South Bay Communications,,ACT-00122986,684,TACPros
South Mississippi Business Machines,,ACT-00263198,,South Mississippi Business Machines
