VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,Pivotal IT,,ACT-00188474,33534,
Acronis,COECO Office Systems,,ACT-00040625,,
Acronis,"IS Consulting Services, LLC",,ACT-00066601,,
Acronis,The Navicon Group,,ACT-00268129,23764,
Acronis,PC Solution Direct,,ACT-00286358,27670,
Acronis,Navious Technologies,,ACT-00190413,21176,
Acronis,Krueger Communications,,ACT-00140142,25287,
Acronis,Veerman ICT Services BV,,ACT-00118063,23483,
Acronis,NIC Inc.,,ACT-00100524,23024,
Acronis,Concord Hospitality (Acronis Migration),,ACT-00263245,23401,
Acronis,N1Discovery LLC,,ACT-00037128,27795,
Acronis,JEC Technologies Group,,ACT-00236854,21137,
Acronis,Metrix,,ACT-00265102,,
Acronis,Five Star Technology Solutions,,ACT-00069079,21364,
Acronis,Quick Fix Network,,ACT-00278157,27213,
Acronis,Hilltop Valley Consulting,,ACT-00110749,25326,
Acronis,Pivotal IT,,ACT-00188474,,
Acronis,Copiers Plus,,ACT-00128668,15339,
Acronis,Omni Technologies Alliance,,ACT-00161783,,
Acronis,NCS Network Consulting,,ACT-00236939,26019,
Acronis,Commercial Networks LTD,,ACT-00107189,22719,
Acronis,PDC Wellness,Minerva Computers,ACT-00267799,-,
Acronis,Local IT,,ACT-00265131,30961,
Acronis,Geecon IT Solutions,,ACT-00275378,500000135,
Acronis,Jeff Computers,,ACT-00004890,26335,
Acronis,Cirroform LLC,,ACT-00268581,27955,
Acronis,Automated Business Products,,ACT-00174175,20476,
Acronis,Austin Computer Guys,,ACT-00168210,15449,
Acronis,MicroSPED (#5607),,ACT-00148634,28327,
Acronis,Micro Computer Consulting Inc.,TD Synnex Canada,ACT-00239637,,
Acronis,Radiance Technology Solutions,,ACT-00295614,27650,
Acronis,Community Alternatives,,ACT-00013043,28494,
Acronis,Vermeer Heartland,"Harmonity Technologies, LLC",ACT-00239679,,
Acronis,Titan Technology Partners,,ACT-00291628,26890,
Acronis,ENT Networks Inc,,ACT-00204987,17367,
Acronis,"SOHO Integration, LLC",,ACT-00166406,26191,
Acronis,The Connected Office,,ACT-00253166,23773,
Acronis,Nutmeg Technologies,,ACT-00042280,25088,
Acronis,Oscar Wilson Engine & Parts,,ACT-00318009,-,
Acronis,Genone Technology Services Inc,TD Synnex Corp,ACT-00245995,,
