BILLING_MONTH,VENDOR,VENDOR_PARTNER_NAME,VENDOR_PRODUCT_SKU,MODIFIER,QUANTITY,UNIT_PRICE,AMOUNT,CURRENCY
2026-05-01,Acronis,Aldebaran Group,SPDAMSENS,US_Master,56546.61,0.0148,836.8898280000001,USD
2026-05-01,Acronis,Aldebaran Group,SPEAMSENS,US_Master,3.0,10.3731,31.119300000000003,USD
2026-05-01,Acronis,Aldebaran Group,SPFAMSENS,US_Master,64.0,3.6565,234.016,USD
2026-05-01,Acronis,Aldebaran Group,SPGAMSENS,US_Master,4.0,1.704,6.816,USD
2026-05-01,Acronis,Aldebaran Group,SPIAMSENS,US_Master,6.0,0.6319,3.7914000000000003,USD
2026-05-01,Acronis,Aldebaran Group,SQYAMSENS,US_Master,420.02,0.0275,11.55055,USD
2026-05-01,Acronis,Aldebaran Group,SRJAMSENS,US_Master,38.0,1.1502,43.7076,USD
2026-05-01,Acronis,Aldebaran Group,SVEAMSENS,US_Master,57584.32,0.0272,1566.293504,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SP4BMSENS,US2_GIG,3784.91,0.0264,99.921624,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SPBAMSENS,US2_GIG,19778.68,0.0545,1077.9380600000002,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SPDAMSENS,US2_GIG,1069.27,0.0148,15.825196,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SPEAMSENS,US2_GIG,0.0,10.3731,0.0,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SPFAMSENS,US2_GIG,0.0,3.6565,0.0,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SPGAMSENS,US2_GIG,0.0,1.704,0.0,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SPIAMSENS,US2_GIG,6.0,0.6319,3.7914000000000003,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SRHAMSENS,US2_GIG,0.0,0.7313,0.0,USD
2026-05-01,Acronis,AlphaKOR Group Inc,SRIAMSENS,US2_GIG,0.0,0.1725,0.0,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SPDAMSENS,US_Master,934.02,0.0148,13.823496,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SPEAMSENS,US_Master,1.0,10.3731,10.3731,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SPFAMSENS,US_Master,4.0,3.6565,14.626,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SPGAMSENS,US_Master,27.0,1.704,46.007999999999996,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SPIAMSENS,US_Master,19.0,0.6319,12.0061,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SQACMSENS,US_Master,1.0,28.4,28.4,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SRHAMSENS,US_Master,1.0,0.7313,0.7313,USD
2026-05-01,Acronis,"Anderson Computer, LLC",SRIAMSENS,US_Master,1.0,0.1725,0.1725,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SPBAMSENS,US_Master,713.93,0.0545,38.909184999999994,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SPDAMSENS,US_Master,169824.5,0.0148,2513.4026000000003,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SPDCMSENS,US_Master,18.0,,0.0,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SPEAMSENS,US_Master,58.0,10.3731,601.6398,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SPFAMSENS,US_Master,124.0,3.6565,453.406,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SPGAMSENS,US_Master,188.0,1.704,320.352,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SRIAMSENS,US_Master,25.0,0.1725,4.3125,USD
2026-05-01,Acronis,Andrews & Associates IT Solutions,SRJAMSENS,US_Master,8.0,1.1502,9.2016,USD
2026-05-01,Acronis,Archis Technologies,SPBAMSENS,US_Master,4046.83,0.0545,220.552235,USD
2026-05-01,Acronis,ArgoNet,SPDAMSENS,US_Master,1517.01,0.0148,22.451748000000002,USD
2026-05-01,Acronis,ArgoNet,SPEAMSENS,US_Master,1.0,10.3731,10.3731,USD
2026-05-01,Acronis,ArgoNet,SPGAMSENS,US_Master,13.0,1.704,22.152,USD
2026-05-01,Acronis,ArgoNet,SPIAMSENS,US_Master,1.0,0.6319,0.6319,USD
2026-05-01,Acronis,ArgoNet,SRIAMSENS,US_Master,5.0,0.1725,0.8624999999999999,USD
2026-05-01,Acronis,Armagh Cash Register Ltd,SPDAMSENS,CAN_DEV,2090.0,0.0148,30.932000000000002,USD
2026-05-01,Acronis,Armagh Cash Register Ltd,SPEAMSENS,CAN_DEV,1.0,10.3731,10.3731,USD
2026-05-01,Acronis,Armagh Cash Register Ltd,SPFAMSENS,CAN_DEV,4.0,3.6565,14.626,USD
2026-05-01,Acronis,Armagh Cash Register Ltd,SPGAMSENS,CAN_DEV,68.0,1.704,115.872,USD
2026-05-01,Acronis,Arthur Allen Technology,SPDAMSENS,US_Master,525.49,0.0148,7.777252000000001,USD
2026-05-01,Acronis,Arthur Allen Technology,SPEAMSENS,US_Master,2.0,10.3731,20.7462,USD
2026-05-01,Acronis,Arthur Allen Technology,SPIAMSENS,US_Master,1.0,0.6319,0.6319,USD
2026-05-01,Acronis,Ascension Technology,SO4AMSENS,US_Master,88.0,1.3348,117.4624,USD
2026-05-01,Acronis,Ascension Technology,SPIAMSENS,US_Master,8.0,0.6319,5.0552,USD
2026-05-01,Acronis,Ashbury,SPDAMSENS,UK_DEV,371.01,0.0148,5.490948,USD
2026-05-01,Acronis,Ashbury,SPDCMSENS,UK_DEV,208.0,,0.0,USD
2026-05-01,Acronis,Ashbury,SRJAMSENS,UK_DEV,331.0,1.1502,380.71619999999996,USD
2026-05-01,Acronis,Associated Time & Parking Controls,SPBAMSENS,US2_GIG,122.91,0.0545,6.698595,USD
2026-05-01,Acronis,Astec IT Consultancy LTD,SPDAMSENS,UK_DEV,652.36,0.0148,9.654928,USD
2026-05-01,Acronis,Astec IT Consultancy LTD,SPEAMSENS,UK_DEV,2.0,10.3731,20.7462,USD
2026-05-01,Acronis,Astec IT Consultancy LTD,SPGAMSENS,UK_DEV,47.0,1.704,80.088,USD
2026-05-01,Acronis,Astec IT Consultancy LTD,SPIAMSENS,UK_DEV,2.0,0.6319,1.2638,USD
2026-05-01,Acronis,Athens Micro,SPD5MSENS,US_Master,1.0,7.0576,7.0576,USD
2026-05-01,Acronis,Athens Micro,SPEAMSENS,US_Master,48.0,10.3731,497.90880000000004,USD
2026-05-01,Acronis,Athens Micro,SPFAMSENS,US_Master,185.0,3.6565,676.4525,USD
2026-05-01,Acronis,Athens Micro,SPGAMSENS,US_Master,171.0,1.704,291.384,USD
2026-05-01,Acronis,Aufsite,SPBAMSENS,US_Master,9407.71,0.0545,512.720195,USD
2026-05-01,Acronis,Austin Computer Guys,SPDAMSENS,US_Master,5745.01,0.0148,85.026148,USD
2026-05-01,Acronis,Austin Computer Guys,SPEAMSENS,US_Master,21.0,10.3731,217.8351,USD
2026-05-01,Acronis,"Autokiniton US Holdings, Inc.",SPDAMSENS,US_Master,32.15,0.0148,0.47582,USD
2026-05-01,Acronis,"Autokiniton US Holdings, Inc.",SPEAMSENS,US_Master,1.0,10.3731,10.3731,USD
2026-05-01,Acronis,"Autokiniton US Holdings, Inc.",SPFAMSENS,US_Master,1.0,3.6565,3.6565,USD
2026-05-01,Acronis,"Autokiniton US Holdings, Inc.",SPGAMSENS,US_Master,42.0,1.704,71.568,USD
2026-05-01,Acronis,"Autokiniton US Holdings, Inc.",SPIAMSENS,US_Master,36.0,0.6319,22.7484,USD
2026-05-01,Acronis,Automated Business Products,SPBAMSENS,US_Master,2779.59,0.0545,151.48765500000002,USD
2026-05-01,Acronis,Automated Business Products,SPDAMSENS,US_Master,1228.1,0.0148,18.17588,USD
2026-05-01,Acronis,Automated Business Products,SPEAMSENS,US_Master,2.0,10.3731,20.7462,USD
