VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,IT In Demand,,ACT-00069340,31346,
Acronis,Bel USA LLC,,ACT-00154470,,
Acronis,Automated Business Products,,ACT-00174175,20476,
Acronis,Forward Tech Solutions,,ACT-00008893,,
Acronis,Pivotal IT,,ACT-00188474,,
Acronis,POS Partners Inc,,ACT-00181522,,
Acronis,Pivotal IT,,ACT-00188474,33534,
Acronis,Pittsburgh Computer Solutions,,ACT-00056546,23978,
Acronis,Ascension Technology,,ACT-00202961,11727,
Acronis,Terminal B,,ACT-00156536,23466,
Acronis,Scout Energy Partners,,ACT-00000040,30583,
Acronis,Manning's Office Solutions,,ACT-00113073,21486,
Acronis,Merit Technology Consultants,,ACT-00069243,19226,
Acronis,Aldebaran Group,,ACT-00015574,5866,
Acronis,PC Solutions,,ACT-00084737,24426,
Acronis,Mittenpunkt Corporation (#1796967),,ACT-00094855,28520,
Acronis,FLR Spectron Ltd,,ACT-00012675,25067,
Acronis,CanWeb Internet Services Ltd.,,ACT-00242304,,CanWeb Internet Services Ltd.
Acronis,"Tech Heroes, Inc",,ACT-00000270,25114,
Acronis,Manna Networks,,ACT-00013956,21293,
Acronis,Microtel Systems Corp,,ACT-00099396,2130,
Acronis,ACT Enviro,,ACT-00068995,,
Acronis,Turner Teleco Alexandria,,ACT-00012919,7913,
Acronis,System Go,,ACT-00069994,22700,
Acronis,Pivit Strategy,,ACT-00265570,24559,
Acronis,GRS Technology Solutions,,ACT-00032964,26725,
Acronis,Allied Business Systems,,ACT-00127057,24702,
Acronis,LifeBrite Hosptial Group,,ACT-00183759,,
Acronis,Pure Technology /1,,ACT-00151751,24338,
Acronis,Origami Technology Group,Ingram Micro,ACT-00151761,,
Acronis,"Sedona, Inc.",,ACT-00126432,6784,
Acronis,Rockford IT,,ACT-00083874,25890,
Acronis,"Adtech Computers, Inc.",,ACT-00138375,34057,
Acronis,NXT IT Solutions,,ACT-00071766,300000155,
Acronis,Blueprint Smiles,,ACT-00188172,,
Acronis,Avalon Hills,,ACT-00225517,32563,
Acronis,Northern Saints Catholic Education Trust,,ACT-00018341,,
Acronis,Icelantic,,ACT-00104498,15159,
Acronis,Wired! Technology Partners,,ACT-00153502,26934,
Acronis,Kaminski Engineering & Management,,ACT-00075647,27644,
Acronis,CYB3R,,ACT-00296847,500000241,
Acronis,QIT Solutions,,ACT-00265920,27442,
Acronis,Glory Global Solutions NZ,,ACT-00081481,,
Acronis,"Envision Technology Advisors, LLC",,ACT-00016529,-,
Acronis,Network Concern,,ACT-00138068,24512,
Acronis,Knoxville Computer Corp,,ACT-00063302,,
Acronis,Staley Technologies ? Cyber & Managed IT Services,,ACT-00175494,24798,
Acronis,Webetek,,ACT-00034035,17279,
Acronis,"GSG Computers, Inc.",,ACT-00240157,,
Acronis,Navious Technologies,,ACT-00190413,21176,
Acronis,Achronix Semiconductor Corp,,ACT-00150615,,
Acronis,The Navicon Group,,ACT-00268129,23764,
Acronis,"JDI Technology Group, Inc.",,ACT-00110882,22929,
Acronis,Infinity Group / France,,ACT-00064853,27054,
Acronis,ENT Networks Inc,,ACT-00204987,17367,
Acronis,Bel USA LLC,,ACT-00154470,-,
Acronis,National Oak Distributors,,ACT-00110200,-,
Acronis,Austin Computer Guys,,ACT-00168210,15449,
Acronis,Secure Cyber Defense,,ACT-00019494,,
Acronis,Noah Morrison,,ACT-00103409,,
Acronis,SNS - Secure Network Services,,ACT-00216891,14677,
Acronis,"iDiscovery Solutions, Inc",,ACT-00245864,,
Acronis,Focus Technology Solutions Ltd,,ACT-00137254,23111,
Acronis,CaffComm Systems Inc.,,ACT-00297572,32468,
