VENDOR,CW_SKUS,DETAIL_ROWS,VENDOR_AMT
Auvik,"AUVIK-ESSENTIALS,AUVIK-INVENT-BILLING,AVNMM10,AVNMM100,AVNMM250,AVNMM40,AVNMM500,CMS-3P-UMM-RMM-SAAS-10070101,CMS-3P-UMM-RMM-SAAS-10070203,CMS-3P-UMM-RMM-SAAS-10072002,CMS-UMM-SAAS-RMM-UMM-SRMMANM,CULCSAAS100706P00010,CULCSAAS100707P00040,CULCSAAS100708P00075,CULCSAAS100708P00100,CULCSAAS100709P00175,CULCSAAS100710P00250,CULCSAAS100711P00500,CULCSAAS100712P00750,CULCSAAS100713P10000,CULCSAAS100714P01500,CULCSAAS100727P00150,CULCSAS10071601M0010,CULCSAS10071701M0040,CULCSAS10071801M0075,CULCSAS10071801M0100,CULCSAS10071901M0150,CULCSAS10071901M0175,CULCSAS10072101M0750,CULCSAS10072201M1000,CULCSAS10072301M1500,CULCSAS10072501M0250,CULCSAS10072601M0500,CULIC-SAAS1007010001,CULICSAS100600MCMP18,CWAN M-0,CWAN M-1,CWANNMM0,CWANNMM1,CWANNMM2,CWANNMM3,CWANNMM4,CWANNMM5,CWANNMM7,M2MLICSAAS1007010001,SRM-SAM-MSP,SwO-3P-UMM-RMM-SAAS-ADVNETKM",1604,2628170.5999999996
Auvik,"AUVIK-PRM-ANM-NEW-BUSSINESS,AUVIKPERFORMANCADDON,AVADDON10,AVADDON100,AVADDON40,CMS-3P-UMM-RMM-SAAS-10070202,CMS-3P-UMM-RMM-SAAS-10072003",713,849522.48
Auvik,"CW-AUVIK-MRM-ASM,CW-AUVIK-MRM-ASM-IIT",121,50584.82
Bitdefender,Bitdefender Cloud Security Gravity Zone,938,440706.0
Bitdefender,Bitdefender Cloud Security Gravity Zone (Usage),772,171472.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage)",324,425159.0
Bitdefender,Bitdefender Cloud Sec GravityZone 1 to 99 ep,256,9249.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage)",157,265890.0
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Sec GravityZone (MDR bundle split)",141,43854.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Cloud Security Gravity Zone",113,77525.0
Bitdefender,Bitdefender Cloud Sec GravityZone 100 to 249 ep,91,19841.0
Bitdefender,Bitdefender EDR (MSP Secure),82,18406.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Cloud Security Gravity Zone (Usage)",77,57203.0
Bitdefender,"Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage)",72,30831.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage)",67,39401.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Security Gravity Zone",53,5119.0
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage)",44,17532.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Sec GravityZone 1 to 99 ep",42,3848.0
