VENDOR,CW_SKU,SKU_MATCH_KEY,CONTRACT_COST_RATE,VENDOR_UNIT_PRICE,CW_UNIT_PRICE
Acronis,MP-SPXAMSENS,SPXAMSENS,0.0239,0.0154,0.07
Acronis,SPXAMSENS,SPXAMSENS,0.0239,0.0154,0.07
Acronis,APP-SPZBMSENS,SPZBMSENS,0.0593,0.0923,0.2
Acronis,SPZBMSENS,SPZBMSENS,0.0593,0.0923,0.2
Acronis,APP-BC-SQ1AMSENS,SQ1AMSENS,0.0239,0.0154,0.07
Acronis,M2M-APP-BC-SQ1AMSENS,SQ1AMSENS,0.0239,0.0154,0.07
Acronis,SQ1AMSENS,SQ1AMSENS,0.0239,0.0154,0.07
Acronis,APP-BC-SQ2AMSENS,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,M2M-APP-BC-SQ2AMSENS,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS / 3PARTYONPREMSEFPRVSG,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS PER GB,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS PER TB,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS PER TB / 3PARTYONPREMSEFPRVSG,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,APP-BC-SQ7AMSENS,SQ7AMSENS,1.87,1.782,5.07
Acronis,M2M-APP-BC-SQ7AMSENS,SQ7AMSENS,1.87,1.782,5.07
Acronis,SQ7AMSENS,SQ7AMSENS,1.87,1.782,5.07
Acronis,ACB-USD-M00-TASQ8AMSEN,SQ8AMSENS,1.1502,0.63,2.86
Acronis,APP-BC-SQ8AMSENS,SQ8AMSENS,1.1502,0.63,2.86
Acronis,M2M-APP-BC-SQ8AMSENS,SQ8AMSENS,1.1502,0.63,2.86
Acronis,SQ8AMSENS,SQ8AMSENS,1.1502,0.63,2.86
Acronis,TASQ8AMSEN,SQ8AMSENS,1.1502,0.63,2.86
Acronis,APP-SA-SQACMSENS,SQACMSENS,28.4,21.0,65.0
Acronis,SQACMSENS,SQACMSENS,28.4,21.0,65.0
Acronis,APP-SA-SQBPMSENS,SQBPMSENS,0.535,0.5075,1.86
Acronis,SQBPMSENS,SQBPMSENS,0.535,0.5075,1.86
Acronis,ACB-USD-M00-TASQYAMSEN,SQYAMSENS,0.0275,0.03,0.06
Acronis,APP-BC-SQYAMSENS,SQYAMSENS,0.0275,0.03,0.06
Acronis,BB-ACRONIS-ADV-PROTECTION-BUNDLE,SQYAMSENS,0.0275,1.45,2.47
Acronis,M2M-APP-BC-SQYAMSENS,SQYAMSENS,0.0275,0.03,0.06
Acronis,SQYAMSENS,SQYAMSENS,0.0275,0.03,0.06
Acronis,TASQYAMSEN,SQYAMSENS,0.0275,0.03,0.06
Acronis,APP-BC-SR3AMSENS,SR3AMSENS,1.115,1.57,3.0
Acronis,M2M-APP-BC-SR3AMSENS,SR3AMSENS,1.115,1.57,3.0
Acronis,SR3AMSENS,SR3AMSENS,1.115,1.57,3.0
Acronis,APP-BC-SRAAMSENS,SRAAMSENS,0.5332,0.56,1.86
Acronis,M2M-APP-BC-SRAAMSENS,SRAAMSENS,0.5332,0.56,1.86
Acronis,MP-SRAAMSENS,SRAAMSENS,0.5332,0.56,1.86
Acronis,SRAAMSENS,SRAAMSENS,0.5332,0.56,1.86
Acronis,ACB-USD-M00-TASRBAMSEN,SRBAMSENS,0.37,0.4,1.3
Acronis,APP-BC-SRBAMSENS,SRBAMSENS,0.37,0.4,1.3
Acronis,M2M-APP-BC-SRBAMSENS,SRBAMSENS,0.37,0.4,1.3
Acronis,SRBAMSENS,SRBAMSENS,0.37,0.4,1.3
Acronis,TASRBAMSEN,SRBAMSENS,0.37,0.4,1.3
Acronis,ACB-UKD-M00-TASRHAMSEN,SRHAMSENS,0.7313,0.36,2.47
Acronis,ACB-USD-M00-TASRHAMSEN,SRHAMSENS,0.7313,0.36,2.47
Acronis,APP-BC-SRHAMSENS,SRHAMSENS,0.7313,0.36,2.47
Acronis,M2M-APP-BC-SRHAMSENS,SRHAMSENS,0.7313,0.36,2.47
Acronis,SRHAMSENS,SRHAMSENS,0.7313,0.36,2.47
Acronis,TASRHAMSEN,SRHAMSENS,0.7313,0.36,2.47
Acronis,ACB-USD-M00-TASRI5MSEN,SRI5MSENS,1.15,1.45,3.25
Acronis,APP-SA-SRI5MSENS,SRI5MSENS,1.15,1.45,3.25
Acronis,M2M-APP-SA-SRI5MSENS,SRI5MSENS,1.15,1.45,3.25
Acronis,SRI5MSENS,SRI5MSENS,1.15,1.45,3.25
Acronis,TASRI5MSEN,SRI5MSENS,1.15,1.45,3.25
Acronis,ACB-CAD-M00-TASRIAMSEN,SRIAMSENS,0.1725,0.55,1.3
Acronis,ACB-UKD-M00-TASRIAMSEN,SRIAMSENS,0.1725,0.55,1.3
