VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
Webroot,SAEP,1000062533,WRS-EUD-M05-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-EUD-M05-TASEWRSGSM,,
Webroot,SECA,1000063234,WRS-USD-M04-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-USD-M04-TAWEBRTSAT,,
Webroot,SECA,1000063234,WRS-CAD-M04-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-CAD-M04-TAWEBRTSAT,,
Webroot,SECA,1000063234,WRS-EUD-M06-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-EUD-M06-TAWEBRTSAT,,
Webroot,SAEP,1000062533,3PARTYONPREMWRTEPP1Y,GSM,OpenText Core Endpoint Protection | CW product=Webroot Internal IT BEP or GSM 1Yr,,
Webroot,GSM,GSM,WRSECGSM10,WEBROOT_GSM,GSM 10-49 endpoints,0.85,
Webroot,SECA,1000063234,M2M-3P-SAAS30022100FFSAT,SAT,OpenText Core Security Awareness Training | CW product=M2M-ConnectWise Webroot SAT-01-01-2000,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULICSAAS1003002000B,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise RMM Server Elite-01-01-2000; not a direct one-to-one OpenText invoice line,,
Webroot,SDNS,1000063236,M2MSAAS30021010FFDNS,DNS,OpenText Core DNS Protection | CW product=M2M-ConnectWise SIEM Webroot DNS,,
Webroot,SECA,1000063234,WRS-USD-M06-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-USD-M06-TAWEBRTSAT,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,M2MSAS200401019NODB,NON_WEBROOT_PRODUCT_TAGGED,CW product=M2M-ConnectWise Continuity Backup No Cloud - Essential; not a direct one-to-one OpenText invoice line,,
Webroot,DNS,DNS,WSADNSP-STAND-ALONE,WEBROOT_DNS,DNS standalone,0.53,
Webroot,SAEP,1000062533,3PARTYONPREMWRTEPP2Y,GSM,OpenText Core Endpoint Protection | CW product=Webroot Internal IT BEP or GSM 2Yr,,
Webroot,SAEP,1000062533,WRS-USD-M03-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-USD-M03-TASEWRSGSM,,
Webroot,SAEP,1000062533,LEGACYSKUGSMSTNRD,GSM,OpenText Core Endpoint Protection | CW product=Webrt GSM - Monthly Subscription,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULICSAS200303001024,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Continuity Backup Fixed Cloud Complete Essential-2000-Svr 768-1024; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,SEWRSGSM10000,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere GSM Key 10000-19999 Eps,,
Webroot,SAEP,1000062533,SEWRSBEP10,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere BEP 1-99,,
Webroot,SAEP,1000062533,WRS-AUD-M07-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-AUD-M07-TASEWRSGSM,,
Webroot,SECA,1000063234,SEWRSSAT10000,SAT,OpenText Core Security Awareness Training | CW product=Webroot SecureAnywhere SecAwarenessTrain 10K-19999,0.02,0.44
Webroot,SDNS,1000063236,WSADNSPSTANDAL-05000,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 5000-9999 EPs,0.42,0.76
Webroot,SAEP,1000062533,CMS-IH-CYBR-SOLP-SAAS-MDRDSKTP,GSM,OpenText Core Endpoint Protection | CW product=CMS Webroot Endpoint Protection-(MDR) Desktop,0.52,2.1
Webroot,SAEP,1000062533,3RPSAAS30020000SEVER,GSM,OpenText Core Endpoint Protection | CW product=Webroot Endpoint Protection-01-01-2000 - (MDR) Server,,
Webroot,SECA,1000063234,WRS-AUD-M02-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-AUD-M02-TAWEBRTSAT,,
Webroot,SAEP,1000062533,SEWRSBEP00,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere Business Endpoint,,
Webroot,GSM,GSM,3P-SAAS3002315EPPRMM,WEBROOT_GSM,EPP RMM 3rd-party SaaS,0.42,
Webroot,OTHER_WEBROOT_TAGGED,,SEWRSBMP100,OTHER_WEBROOT_TAGGED,CW product=Webroot SecureAnywhere BMP 100-249 End of Life; not a direct one-to-one OpenText invoice line,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,M2MSAS200401000NOSB,NON_WEBROOT_PRODUCT_TAGGED,CW product=M2M-ConnectWise Continuity Backup No Cloud - Essential 2000 Server; not a direct one-to-one OpenText invoice line,,
Webroot,DNS,DNS,3P-SAAS30021010FFDNS,WEBROOT_DNS,DNS 3rd-party SaaS,0.53,
Webroot,SAEP,1000062533,WRS-CAD-M01-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-CAD-M01-TASEWRSGSM,,
Webroot,SECA,1000063234,SEWRSSAT20000,SAT,OpenText Core Security Awareness Training | CW product=Webroot SecureAnywhere SecAwarenessTrain 20000+,0.02,0.41
Webroot,SECA,1000063234,WRS-USD-M01-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-USD-M01-TAWEBRTSAT,,
Webroot,OTHER_WEBROOT_TAGGED,,Discount-Webroot,OTHER_WEBROOT_TAGGED,CW product=Discount Code - Webroot - WW Direct; not a direct one-to-one OpenText invoice line,,
Webroot,SECA,1000063234,3P-SAAS30022100FFSAT,SAT,OpenText Core Security Awareness Training | CW product=ConnectWise Webroot SAT-01-01-2000,,
Webroot,SDNS,1000063236,WSADNSP-STAND-ALONE,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS,0.42,0.59
Webroot,SECA,1000063234,WRS-CAD-M03-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-CAD-M03-TAWEBRTSAT,,
Webroot,SAEP,1000062533,M2M-3P-SAAS3002300EPPRMM,GSM,OpenText Core Endpoint Protection | CW product=M2M-Webroot Endpoint Protection-(MDR) non-RMM-01-01-2000,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULSAS200401019NODB,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Continuity Backup No Cloud - Essential; not a direct one-to-one OpenText invoice line,,
Webroot,GSM,GSM,SEWRSGSM2500,WEBROOT_GSM,SE-tier GSM 2500+,0.45,
Webroot,SECA,1000063234,WRS-UKD-M03-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-UKD-M03-TAWEBRTSAT,,
Webroot,SECA,1000063234,WRS-AUD-M04-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-AUD-M04-TAWEBRTSAT,,
Webroot,SAEP,1000062533,SEWRSBEP100,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere BEP 100-249,,
Webroot,SDNS,1000063236,3P-SAAS30021010FFDNS,DNS,OpenText Core DNS Protection | CW product=Webroot DNS,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULIC-SAAS1007020003,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise RMM Networks Performance; not a direct one-to-one OpenText invoice line,,
Webroot,SDNS,1000063236,WSADNSPSTANDAL-00750,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 750-999 EPs,0.42,1.0
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,M2M-LIC-SAAS1007020003,NON_WEBROOT_PRODUCT_TAGGED,CW product=M2M-ConnectWise RMM Networks Performance; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,3P-SAAS3002300EPPRMM,GSM,OpenText Core Endpoint Protection | CW product=Webroot Endpoint Protection-(MDR) non-RMM-01-01-2000,,
Webroot,SECA,1000063234,WRS-USD-M02-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-USD-M02-TAWEBRTSAT,,
Webroot,SAEP,1000062533,3RPSAAS30020015SEVER,GSM,OpenText Core Endpoint Protection | CW product=Webroot Endpoint Protection-(MDR)  Server,,
Webroot,GSM,GSM,SEWRSGSM100,WEBROOT_GSM,SE-tier GSM 100-249,0.79,
Webroot,SAEP,1000062533,SEWRSBEP5000,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere BEP 5000-9999,,
Webroot,SDNS,1000063236,WSADNSPSTANDAL-10000,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 10000-19999 EPs,0.42,0.7
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,M2MLISAS20030200DKTP,NON_WEBROOT_PRODUCT_TAGGED,CW product=M2M-ConnectWise Continuity Backup Fixed Cloud Complete-Elite-2000-Desktop Elite; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,3RPSAAS30020015PARNT,GSM,OpenText Core Endpoint Protection | CW product=Webroot Endpoint Protection  (MDR Parent),,
Webroot,SAEP,1000062533,SEWRSGSM10,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere GSM Key 1-99  EPs,,
Webroot,GSM,GSM,3RDPARTYSAASIITBUEPP,WEBROOT_GSM,3rd-party SaaS EPP legacy,0.42,
Webroot,SAEP,1000062533,WRS-CAD-M02-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-CAD-M02-TASEWRSGSM,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULCSAS100703-750ADD,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise RMM Networks Package-MSP 750 (Additional Units); not a direct one-to-one OpenText invoice line,,
Webroot,SECA,1000063234,WRS-EUD-M03-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-EUD-M03-TAWEBRTSAT,,
Webroot,SAEP,1000062533,WRS-EUD-M02-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-EUD-M02-TASEWRSGSM,,
Webroot,SAT,SAT,SEWRSSAT10,WEBROOT_SAT,SAT 10-49,0.35,
Webroot,BUNDLE,1000062533|1000063236|1000063234,WRS-UKD-M05-TBGSMDNSSA,BUNDLE,CW product=WRS-UKD-M05-TBGSMDNSSA; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,WRS-UKD-M05-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-UKD-M05-TASEWRSGSM,,
Webroot,SAEP,1000062533,WRS-AUD-M01-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-AUD-M01-TASEWRSGSM,,
Webroot,BUNDLE,1000062533|1000063236|1000063234,WRS-CAD-M01-TBGSMDNSSA,BUNDLE,CW product=WRS-CAD-M01-TBGSMDNSSA; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,3P-SAAS3002315EPPRMM,GSM,OpenText Core Endpoint Protection | CW product=Webroot Endpoint Protection-(MDR) non-RMM-11-01-2015,,
Webroot,OTHER_WEBROOT_TAGGED,,MP-SECUREANYWHEREBMP,OTHER_WEBROOT_TAGGED,CW product=Webroot SecureAnywhere Business Mobile Protection EOL; not a direct one-to-one OpenText invoice line,,
Webroot,SDNS,1000063236,3P-SAAS30021100FFDNS,DNS,OpenText Core DNS Protection | CW product=Webroot DNS_Not Use,,
Webroot,SAEP,1000062533,WRS-USD-M04-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-USD-M04-TASEWRSGSM,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULICSAAS20040019STC,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Recover Continuity No Cloud Elite-Server TC; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,SEWRSBEP1000,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere BEP 1000-2499,,
Webroot,SAEP,1000062533,SEWSABEP,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere Business End Point,,
Webroot,SAEP,1000062533,CMS-EG-CYBR-SOLP-SAAS-MDRDSKTP,GSM,OpenText Core Endpoint Protection | CW product=CMS EVG Webroot Endpoint Protection-(MDR) Desktop,0.52,2.1
