VENDOR_PARTNER_NAME,FINAL_SF_ID,BILLING_MONTH,VENDOR_QTY,ABS_QTY_DELTA,ZUORA_ROWS_ANY_SKU,ZUORA_ROWS_OEM_SKU,MARKETPLACE_ROWS_ANY_SKU,OVERLAP_SKU_COUNT,OVERLAP_SKUS,ROOT_CAUSE
"Source One Business Services, LLC",ACT-00061482,2026-04-01,11.0000,11.0,3,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
"Source One Business Services, LLC",ACT-00061482,2026-03-01,11.0000,11.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
HighPoint Medical,ACT-00086725,2026-02-01,10.0000,10.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
HighPoint Medical,ACT-00086725,2026-01-01,10.0000,10.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
"Source One Business Services, LLC",ACT-00061482,2026-05-01,10.0000,10.0,3,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
1SWISS1 SA,ACT-00172679,2026-06-01,8.0000,8.0,4,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
1SWISS1 SA,ACT-00172679,2026-05-01,5.0000,5.0,4,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
1SWISS1 SA,ACT-00172679,2026-04-01,3.0000,3.0,4,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Baleehoo Media Inc,ACT-00298323,2026-06-01,3.0000,3.0,1,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Baleehoo Media Inc,ACT-00298323,2026-03-01,3.0000,3.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Baleehoo Media Inc,ACT-00298323,2026-05-01,3.0000,3.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Baleehoo Media Inc,ACT-00298323,2026-04-01,3.0000,3.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Boys and Girls Club of Greater Houston,ACT-00455419,2026-02-01,2.0000,2.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Boys and Girls Club of Greater Houston,ACT-00455419,2026-01-01,2.0000,2.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Boys and Girls Club of Greater Houston,ACT-00455419,2026-04-01,2.0000,2.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Boys and Girls Club of Greater Houston,ACT-00455419,2026-03-01,2.0000,2.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
CPI Technologies,ACT-00208346,2026-06-01,1.0000,1.0,2,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
TRIO Technical Solutions Ltd,ACT-00259387,2026-06-01,1.0000,1.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
